hoa_name,subdivision_name,status,pdo_parcel_count,pdo_streets,state_registry_num,state_registry_date,website,address,phone,notes,data_sources
"Billings Ranch HOA, Inc.",Billings Ranch Subdivision A P. C.,confirmed,59,EASTERLING LN; LINDSAY LN; NEVADA ST W; VANSANT ST; W NEVADA ST,49559891,2008-02-05,https://www.billingsranchhoa.com/,"241 MAPLE ST STE 100, ASHLAND, OR 97520",,"Active website, CC&Rs, board; President: VICKI GRIESINGER",pdo;web_search;state_hoa
Riverwalk Homeowners Association,"River Walk Subdivision, A P.C.",confirmed,52,BRISCOE PL; CLINTON ST; MOUNTAIN AVE N,,,https://riverwalkofashland.org/,,,"175+ homes, 241 Maple St",pdo;web_search
Bud's Dairy Homeowners Association,Bud's Dairy A P.C.,confirmed,45,ABBOTT AVE; DOLLARHIDE WAY; ENGLE ST,,,,,,"D&B listing, founded 2010",pdo;web_search
Pavilion Condominium Association,"Pavilion Condominium, The",confirmed,31,MOUNTAIN AVE N; PAVILION PL; SKYLARK PL,,,,,,CC&Rs via Mountain Meadows mgmt,pdo;web_search
Creekside Cottages Condominium Association,Creekside Cottages Condominium,confirmed,20,SISKIYOU BLVD,13485396,,,,,OR SOS registry 13485396,pdo;web_search
Five Turret Townhouses HOA,Five Turret Townhouses A P.C.,confirmed,12,CALIFORNIA ST,,,,,,TransparencyHOA listing,pdo;web_search
Deerfield Estates HOA,Deerfield Estates Subdivision,confirmed,10,CHITWOOD LN; CLAY ST,,,https://sites.google.com/site/dehapublic/docs,,,Google Sites with docs,pdo;web_search
Hamilton Place HOA,Hamilton Place Subdivision,confirmed,8,OLD MILL WAY,,,,,(541) 488-6965,955 Drew Lane,pdo;web_search
Ashland Conservancy HOA,,confirmed,0,,,,https://ashlandconservancy.com/,"Ashland, OR",,Monthly board meetings,web
Chautauqua Trace HOA,,confirmed,0,,,,https://chautauquatracehoa.communitysite.com/,"Ashland, OR",,,web
Chelsea Oaks Condominium Association,,confirmed,0,,,,,"854 Twin Pines Cir, Ashland, OR 97520",,Est. 2014,SOS registry
Clay Creek Gardens HOA,,confirmed,0,,,,https://ashlandia.wixsite.com/claycreekhoa,"Ashland, OR",,,web
East Village HOA,,confirmed,0,,,,https://eastvillagehoaashland.com/,"Ashland, OR",,,web
Fallen Leaf Tract Association,,confirmed,0,,,,,"580 Elkader St, Ashland, OR 97520",,"Social Welfare Org, est. 2013",IRS 501c
HERSEY HEIGHTS PLANNED UNIT DEVELOPMENT HOA,,confirmed,0,,115906794,2015-11-04,,"161 E HERSEY ST, ASHLAND, OR 97520",,President: JOAN REICHERT,state_hoa
KESTREL PARK COTTAGES PHASE II HOA,,confirmed,0,,220612691,2023-12-18,,"444 NANDINA ST, ASHLAND, OR 97520",,President: CASS LARKIN,state_hoa
Meadowbrook Park Estates HOA,,confirmed,0,,,,https://www.meadowbrookparkestates.com/,"Ashland, OR",,"59 homes, est. 1997",web
Meadowbrook Park II North Mountain HOA,,confirmed,0,,,,https://www.meadowbrookparkashlandor.com/,"Ashland, OR",,,web
Mountain Meadows Owners Association,,confirmed,0,,,,https://mountainmeadowsashland.com/mmoa/,"855 Mountain Meadows Dr, Ashland, OR 97520",,"226 properties, 27 acres",web
